시군명,발생년도,발생일자,주야구분명,사고요일,사고유형_대분류,사고유형,법규위반내용,도로형태_대분류,도로형태,당사자1_대분류,당사자1_차종,당사자2_대분류,당사자2_차종,사망자수,중상자수,부상자수,부상신고자수,경상자수,WGS84위도,WGS84경도
이천시,2017   ,2017-07-17 21시,야간,월요일,차대차,정면충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,원동기장치자전거,원동기장치자전거,2,0,2,0,0,37.31746385,127.42833345
용인시,2017   ,2017-07-17 16시,주간,월요일,차대차,측면충돌,교차로 통행방법 위반,교차로,교차로내,건설기계,건설기계,자전거,자전거,1,0,1,0,0,37.23922442,127.2145326
남양주시,2017   ,2017-07-17 09시,주간,월요일,차대사람,횡단중,안전운전 의무 불이행,기타,기타,승용차,승용차,보행자,보행자,1,0,1,0,0,37.70804195,127.1821011
파주시,2017   ,2017-07-17 02시,야간,월요일,차대차,측면충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,화물차,화물차,1,0,1,0,0,37.82878054,126.73745804
포천시,2017   ,2017-07-16 16시,주간,일요일,차량단독,전도전복,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,없음,없음,1,0,1,0,0,37.94210444,127.22520778
군포시,2017   ,2017-07-16 04시,야간,일요일,차대사람,횡단중,과속,교차로,교차로횡단보도내,승용차,승용차,보행자,보행자,1,0,1,0,0,37.37050468,126.94001135
남양주시,2017   ,2017-07-14 11시,주간,금요일,차량단독,전도,안전운전 의무 불이행,단일로,기타단일로,이륜차,이륜차,없음,없음,1,0,1,0,0,37.63860995,127.17802208
부천시,2017   ,2017-07-14 02시,야간,금요일,차대사람,횡단중,과속,단일로,기타단일로,승용차,승용차,보행자,보행자,1,0,1,0,0,37.5035855,126.77198133
남양주시,2017   ,2017-07-13 11시,주간,목요일,차대사람,횡단중,안전운전 의무 불이행,기타,기타,승용차,승용차,보행자,보행자,1,1,4,0,2,37.65232144,127.30699523
화성시,2017   ,2017-07-13 08시,주간,목요일,차대차,기타,안전운전 의무 불이행,단일로,기타단일로,원동기장치자전거,원동기장치자전거,건설기계,건설기계,1,0,1,0,0,37.27007092,126.86133052
고양시,2017   ,2017-07-13 02시,야간,목요일,차대사람,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,1,1,2,0,0,37.58199524,126.87453129
화성시,2017   ,2017-07-13 01시,야간,목요일,차대사람,횡단중,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,보행자,보행자,1,0,1,0,0,37.24329265,126.87522164
성남시,2017   ,2017-07-12 22시,야간,수요일,차대사람,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,1,0,1,0,0,37.45603179,127.12612803
양평군,2017   ,2017-07-12 22시,야간,수요일,차대사람,차도통행중,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,보행자,보행자,1,0,1,0,0,37.4161446,127.54001635
파주시,2017   ,2017-07-12 20시,야간,수요일,차대사람,기타,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,보행자,보행자,1,0,1,0,0,37.83750129,126.72857209
수원시,2017   ,2017-07-12 18시,야간,수요일,차대차,기타,차로위반(진로변경 위반),교차로,교차로부근,이륜차,이륜차,승합차,승합차,1,0,1,0,0,37.2890033,127.03165923
양주시,2017   ,2017-07-12 04시,야간,수요일,차대사람,횡단중,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,보행자,보행자,1,0,1,0,0,37.74008377,126.97724692
화성시,2017   ,2017-07-12 00시,야간,수요일,차대사람,차도통행중,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,1,0,1,0,0,37.17340821,126.91420927
여주시,2017   ,2017-07-11 04시,야간,화요일,차량단독,공작물충돌,안전운전 의무 불이행,기타,기타,승용차,승용차,없음,없음,1,0,1,0,0,37.30138232,127.57270067
성남시,2017   ,2017-07-10 22시,야간,월요일,차량단독,전도전복,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,없음,없음,2,1,3,0,0,37.39527777,127.07499178
화성시,2017   ,2017-07-10 22시,야간,월요일,차대차,측면충돌,중앙선 침범,단일로,기타단일로,승용차,승용차,승합차,승합차,1,3,9,0,5,37.19264399,126.83881777
여주시,2017   ,2017-07-10 18시,야간,월요일,차대차,측면충돌,중앙선 침범,단일로,기타단일로,승합차,승합차,승용차,승용차,1,1,2,0,0,37.24303763,127.74510625
김포시,2017   ,2017-07-10 00시,야간,월요일,차대차,측면충돌,차로위반(진로변경 위반),단일로,기타단일로,이륜차,이륜차,승용차,승용차,1,0,1,0,0,37.61558714,126.72821919
양평군,2017   ,2017-07-09 14시,주간,일요일,차대차,기타,중앙선 침범,단일로,기타단일로,이륜차,이륜차,자전거,자전거,1,0,1,0,0,37.56395338,127.46794416
화성시,2017   ,2017-07-09 00시,야간,일요일,차대차,추돌,과속,단일로,기타단일로,승용차,승용차,이륜차,이륜차,1,0,1,0,0,37.22004209,127.02827619
수원시,2017   ,2017-07-08 22시,야간,토요일,차대사람,횡단중,안전운전 의무 불이행,교차로,교차로내,승용차,승용차,보행자,보행자,1,0,1,0,0,37.26850588,127.02718452
안산시,2017   ,2017-07-08 19시,야간,토요일,차대차,정면충돌,안전운전 의무 불이행,교차로,교차로내,승합차,승합차,화물차,화물차,1,1,2,0,0,37.30267012,126.80313594
용인시,2017   ,2017-07-08 17시,주간,토요일,차대사람,횡단중,보행자 보호의무 위반,교차로,교차로횡단보도내,승합차,승합차,보행자,보행자,1,0,1,0,0,37.24938494,127.23065261
성남시,2017   ,2017-07-07 21시,야간,금요일,차대차,추돌,안전운전 의무 불이행,단일로,고가도로위,승용차,승용차,승용차,승용차,1,0,3,0,2,37.43367944,127.13530459
평택시,2017   ,2017-07-07 21시,야간,금요일,차대사람,횡단중,안전운전 의무 불이행,교차로,교차로내,승합차,승합차,보행자,보행자,1,0,1,0,0,37.0149002,127.11376541
고양시,2017   ,2017-07-07 15시,주간,금요일,차대차,추돌,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,승용차,승용차,1,1,8,0,6,37.58059146,126.87667222
화성시,2017   ,2017-07-07 00시,야간,금요일,차대차,추돌,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,화물차,화물차,1,1,3,0,1,37.20436934,127.0947376
포천시,2017   ,2017-07-07 00시,야간,금요일,차대사람,횡단중,안전운전 의무 불이행,교차로,교차로내,이륜차,이륜차,보행자,보행자,1,0,1,0,0,37.82791325,127.145759
화성시,2017   ,2017-07-06 20시,야간,목요일,차대사람,횡단중,과속,단일로,기타단일로,승용차,승용차,보행자,보행자,1,0,1,0,0,37.24129855,126.85467338
군포시,2017   ,2017-07-06 16시,주간,목요일,차대사람,횡단중,보행자 보호의무 위반,교차로,교차로횡단보도내,승합차,승합차,보행자,보행자,1,0,1,0,0,37.36654747,126.94188156
안성시,2017   ,2017-07-06 12시,주간,목요일,차대차,추돌,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,화물차,화물차,1,0,1,0,0,36.98108479,127.3333673
용인시,2017   ,2017-07-06 04시,야간,목요일,차대차,기타,안전운전 의무 불이행,기타,기타,화물차,화물차,화물차,화물차,1,0,2,0,1,37.03967337,127.13776671
남양주시,2017   ,2017-07-05 23시,야간,수요일,차대사람,횡단중,안전운전 의무 불이행,교차로,교차로횡단보도내,승용차,승용차,보행자,보행자,1,0,1,0,0,37.72726867,127.19281081
평택시,2017   ,2017-07-05 22시,야간,수요일,차대사람,횡단중,안전운전 의무 불이행,단일로,기타단일로,승합차,승합차,보행자,보행자,1,0,1,0,0,37.13458858,127.0305298
시흥시,2017   ,2017-07-05 17시,주간,수요일,차대차,측면충돌,신호위반,단일로,기타단일로,화물차,화물차,이륜차,이륜차,1,0,1,0,0,37.31787788,126.71962675
포천시,2017   ,2017-07-05 10시,주간,수요일,차대사람,횡단중,보행자 보호의무 위반,교차로,교차로내,승합차,승합차,보행자,보행자,1,0,1,0,0,37.90052109,127.20041822
이천시,2017   ,2017-07-05 03시,야간,수요일,차대차,정면충돌,중앙선 침범,단일로,기타단일로,승용차,승용차,승용차,승용차,1,1,2,0,0,37.13406959,127.6283275
